Sr. No.,SECURITY,SYMBOL
75,Escorts Kubota Limited,ESCORTS
76,The Ramco Cements Limited,RAMCOCEM
77,Sundaram Finance Limited,SUNDARMFIN
78,BHARTI HEXACOM LIMITED,BHARTIHEXA
79,UltraTech Cement Limited,ULTRACEMCO
80,HBL ENGINEERING LTD,HBLENGINE
81,DCM Shriram Limited,DCMSHRIRAM
82,Hatsun Agro Product Limited,HATSUN
83,Kalyan Jewellers India Limited,KALYANKJIL
84,BELRISE INDUSTRIES LTD,BELRISE
85,Bank of India Limited,BANKINDIA
86,HDFC Bank Limited,HDFCBANK
87,ABB India Limited,ABB
88,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
89,Eicher Motors Limited,EICHERMOT
90,LG ELECTRONICS INDIA LTD,LGEINDIA
91,Cholamandalam Financial Holdings Limited,CHOLAHLDNG
92,CIE Automotive India Limited,CIEINDIA
93,Wipro Limited,WIPRO
94,Garware Hi-Tech Films Limited,GRWRHITECH
95,Minda Corporation Limited,MINDACORP
96,Torrent Pharmaceuticals Limited,TORNTPHARM
97,Apollo Hospitals Enterprise Limited,APOLLOHOSP
98,Bank of Maharashtra,MAHABANK
99,Bosch Limited,BOSCHLTD
100,Zydus Lifesciences Limited,ZYDUSLIFE
101,Varun Beverages Limited,VBL
102,Page Industries Limited,PAGEIND
103,Bajaj Holdings & Investment Limited,BAJAJHLDNG
104,Punjab National Bank,PNB
105,CreditAccess Grameen Limited,CREDITACC
106,Computer Age Management Services Limited,CAMS
107,DR AGARWALS HEALTH CARE L,AGARWALEYE
108,Housing and Urban Development Corporation Limited,HUDCO
109,The Great Eastern Shipping Company Limited,GESHIP
110,Mphasis Limited,MPHASIS
111,Tata Elxsi Limited,TATAELXSI
112,CRISIL Limited,CRISIL
113,Adani Total Gas Limited,ATGL
114,BILLIONBRAINS GARAGE VN L,GROWW
115,Hitachi Energy India Limited,POWERINDIA
116,Jindal Stainless Limited,JSL
117,Hindustan Aeronautics Limited,HAL
118,L&T Technology Services Limited,LTTS
119,Hero MotoCorp Limited,HEROMOTOCO
120,JSW Steel Limited,JSWSTEEL
121,Sansera Engineering Limited,SANSERA
122,Tata Technologies Limited,TATATECH
123,EIH Limited,EIHOTEL
124,JSW CEMENT LIMITED,JSWCEMENT
125,Abbott India Limited,ABBOTINDIA
126,Godfrey Phillips India Limited,GODFRYPHLP
127,Dabur India Limited,DABUR
128,Bharat Heavy Electricals Limited,BHEL
129,Alkem Laboratories Limited,ALKEM
130,Cemindia Projects Limited,CEMPRO
131,Aster DM Healthcare Limited,ASTERDM
132,Narayana Hrudayalaya Limited,NH
133,Century Plyboards (India) Limited,CENTURYPLY
134,Kirloskar Brothers Limited,KIRLOSBROS
135,Aarti Industries Limited,AARTIIND
136,LIC Housing Finance Limited,LICHSGFIN
137,PNB Housing Finance Limited,PNBHOUSING
138,Ipca Laboratories Limited,IPCALAB
139,GE Vernova T&D India Ltd,GVT&D
140,Adani Power Limited,ADANIPOWER
141,Oberoi Realty Limited,OBEROIRLTY
142,Indian Railway Catering & Tourism Corporation Limited,IRCTC
143,Firstsource Solutions Limited,FSL
144,PREMIER ENERGIES LIMITED,PREMIERENE
145,Bank of Baroda Limited,BANKBARODA
146,Yes Bank Limited,YESBANK
147,Laurus Labs Limited,LAURUSLABS
148,Sona BLW Precision Forgings Limited,SONACOMS
149,Bayer CropScience Limited,BAYERCROP
150,Multi Commodity Exchange of India Limited,MCX
151,Jubilant FoodWorks Limited,JUBLFOOD
152,Godawari Power & Ispat Limited,GPIL
153,Coforge Limited,COFORGE
154,CCL Products (India) Limited,CCL
155,EMMVEE PHOTOVOLTAIC PWR L,EMMVEE
156,The Federal Bank Limited,FEDERALBNK
157,BSE Limited,BSE
158,Shyam Metalics and Energy Limited,SHYAMMETL
159,Steel Authority of India Limited,SAIL
160,The Phoenix Mills Limited,PHOENIXLTD
161,Patanjali Foods Limited,PATANJALI
162,ICICI Lombard General Insurance Company Limited,ICICIGI
163,Endurance Technologies Limited,ENDURANCE
164,Affle 3i Limited,AFFLE
165,MRF Limited,MRF
166,Capri Global Capital Limited,CGCL
167,3M India Limited,3MINDIA
168,Global Health Limited,MEDANTA
169,Eternal Limited,ETERNAL
170,Britannia Industries Limited,BRITANNIA
171,Gland Pharma Limited,GLAND
172,Caplin Point Laboratories Limited,CAPLIPOINT
173,GlaxoSmithKline Pharmaceuticals Limited,GLAXO
174,Eris Lifesciences Limited,ERIS
175,BAJAJ HOUSING FINANCE LTD,BAJAJHFL
176,AIA Engineering Limited,AIAENG
177,AWL Agri Business Limited,AWL
178,Divi's Laboratories Limited,DIVISLAB
179,Dixon Technologies (India) Limited,DIXON
180,Neuland Laboratories Limited,NEULANDLAB
181,Sun Pharmaceutical Industries Limited,SUNPHARMA
182,TD Power Systems Limited,TDPOWERSYS
183,WAAREE ENERGIES LIMITED,WAAREEENER
184,Fine Organic Industries Limited,FINEORG
185,Havells India Limited,HAVELLS
186,The Indian Hotels Company Limited,INDHOTEL
187,Schaeffler India Limited,SCHAEFFLER
188,Tata Consultancy Services Limited,TCS
189,Ambuja Cements Limited,AMBUJACEM
190,Titan Company Limited,TITAN
191,Tata Steel Limited,TATASTEEL
192,INVENTURUS KNOWLEDGE SO L,IKS
193,Metro Brands Limited,METROBRAND
194,Indian Railway Finance Corporation Limited,IRFC
195,CESC Limited,CESC
196,Mazagon Dock Shipbuilders Limited,MAZDOCK
197,Mankind Pharma Limited,MANKIND
198,Asian Paints Limited,ASIANPAINT
199,Granules India Limited,GRANULES
200,Elgi Equipments Limited,ELGIEQUIP
201,Hindustan Petroleum Corporation Limited,HINDPETRO
202,Bajaj Finserv Ltd.,BAJAJFINSV
203,NMDC Limited,NMDC
204,Kansai Nerolac Paints Limited,KANSAINER
205,Kajaria Ceramics Limited,KAJARIACER
206,Triveni Turbine Limited,TRITURBINE
207,Blue Star Limited,BLUESTARCO
208,KFin Technologies Limited,KFINTECH
209,Chalet Hotels Limited,CHALET
210,Leela Palaces Hotels & Resorts Limited,THELEELA
211,Gillette India Limited,GILLETTE
212,Avenue Supermarts Limited,DMART
213,Trent Limited,TRENT
214,Adani Ports and Special Economic Zone Limited,ADANIPORTS
215,Central Bank of India,CENTRALBK
216,ANTHEM BIOSCIENCES LTD,ANTHEM
217,ICICI PRUDENTIAL AMC LTD,ICICIAMC
218,Gabriel India Limited,GABRIEL
219,Kalpataru Projects International Limited,KPIL
220,Aditya Birla Capital Limited,ABCAPITAL
221,Lupin Limited,LUPIN
222,Pfizer Limited,PFIZER
223,Siemens Energy India Limited,ENRIN
224,Bajaj Finance Limited,BAJFINANCE
225,ALLIED BLEND N DISTILS L,ABDL
226,LTM Limited,LTM
227,Central Depository Services (India) Limited,CDSL
228,GO DIGIT GENERAL INS LTD,GODIGIT
229,Navin Fluorine International Limited,NAVINFLUOR
230,Alembic Pharmaceuticals Limited,APLLTD
231,SRF Limited,SRF
232,HCL Technologies Limited,HCLTECH
233,Glenmark Pharmaceuticals Limited,GLENMARK
234,Castrol India Limited,CASTROLIND
235,Indian Overseas Bank,IOB
236,Indus Towers Limited,INDUSTOWER
237,Shree Cement Limited,SHREECEM
238,PB Fintech Limited,POLICYBZR
239,Indian Bank,INDIANB
240,360 One Wam Limited,360ONE
241,Suzlon Energy Limited,SUZLON
242,Craftsman Automation Limited,CRAFTSMAN
243,Sobha Limited,SOBHA
244,Bharti Airtel Limited,BHARTIARTL
245,Coal India Limited,COALINDIA
246,Infosys Limited,INFY
247,UPL Limited,UPL
248,The Karur Vysya Bank Limited,KARURVYSYA
249,Punjab & Sind Bank,PSB
250,Bharat Electronics Limited,BEL
251,NBCC (India) Limited,NBCC
252,Nippon Life India Asset Management Limited,NAM-INDIA
253,Bikaji Foods International Limited,BIKAJI
254,RBL Bank Limited,RBLBANK
255,Angel One Limited,ANGELONE
256,ADITYA INFOTECH LIMITED,CPPLUS
257,Indian Oil Corporation Limited,IOC
258,Polycab India Limited,POLYCAB
259,Linde India Limited,LINDEINDIA
260,Tech Mahindra Limited,TECHM
261,FSN E-Commerce Ventures Limited,NYKAA
262,Persistent Systems Limited,PERSISTENT
263,Finolex Cables Limited,FINCABLES
264,Amara Raja Energy & Mobility Limited,ARE&M
265,APL Apollo Tubes Limited,APLAPOLLO
266,Niva Bupa Health Insurance Company Limited,NIVABUPA
267,Bharat Petroleum Corporation Limited,BPCL
268,Chambal Fertilisers and Chemicals Limited,CHAMBLFERT
269,Petronet LNG Limited,PETRONET
270,Garden Reach Shipbuilders & Engineers Limited,GRSE
271,Fortis Healthcare Limited,FORTIS
272,Jyoti CNC Automation Limited,JYOTICNC
273,Hindustan Copper Limited,HINDCOPPER
274,VISHAL MEGA MART LIMITED,VMM
275,K.P.R. Mill Limited,KPRMILL
276,Chennai Petroleum Corporation Limited,CHENNPETRO
277,Ajanta Pharma Limited,AJANTPHARM
278,FRACTAL ANALYTICS LIMITED,FRACTAL
279,Amber Enterprises India Limited,AMBER
280,Aether Industries Limited,AETHER
281,Sumitomo Chemical India Limited,SUMICHEM
282,Exide Industries Limited,EXIDEIND
283,Solar Industries India Limited,SOLARINDS
284,Data Patterns (India) Limited,DATAPATTNS
285,Gujarat Energy Limited,GUJGASLTD
286,JSW Infrastructure Limited,JSWINFRA
287,Netweb Technologies India Limited,NETWEB
288,Oil India Limited,OIL
289,KEI Industries Limited,KEI
290,Schneider Electric Infrastructure Limited,SCHNEIDER
291,Timken India Limited,TIMKEN
292,Oil and Natural Gas Corporation Limited,ONGC
293,Black Box Limited,BBOX
294,Life Insurance Corporation of India,LICI
295,Info Edge (India) Limited,NAUKRI
296,Kirloskar Oil Engines Limited,KIRLOSENG
297,AU Small Finance Bank Limited,AUBANK
298,Vedanta Limited,VEDL
299,Astral Limited,ASTRAL
300,Muthoot Finance Limited,MUTHOOTFIN
301,TENNECO CLEAN AIR INDIA L,TENNIND
302,CENTRAL MINE P N D INST L,CMPDI
303,APAR Industries Limited,APARINDS
304,The Supreme Industries Limited,SUPREMEIND
305,Hindustan Zinc Limited,HINDZINC
306,Bandhan Bank Limited,BANDHANBNK
307,INOX India Limited,INOXINDIA
